Fire Name,Acres,Ignition Date,Fire Type,Fire ID,,,,,,,,,,,,
BORDER ONE RX,1187,2/27/2019,Prescribed Fire,AZ3134011029420190227,,,,,,,,,,,,
BUFFALO CORRAL,1146,7/14/2019,Wildfire,AZ3156211037620190714,,,,,,,,,,,,
THREE HILLS,1373,10/27/2020,Wildfire,AZ3160611150220201027,,,,,,,,,,,,
ENCINOS,14145,10/7/2020,Wildfire,AZ3162311162420201007,,,,,,,,,,,,
ESPINOSA,1770,10/6/2020,Wildfire,AZ3168311135220201006,,,,,,,,,,,,
ROUND VALLEY,1584,10/31/2020,Wildfire,AZ3170410920320201031,,,,,,,,,,,,
KLAUS,4942,8/10/2020,Wildfire,AZ3175510913820200810,,,,,,,,,,,,
NAVARRO,2298,7/12/2020,Wildfire,AZ3195511118320200712,,,,,,,,,,,,
EMIGRANT,4582,6/6/2020,Wildfire,AZ3209510937320200606,,,,,,,,,,,,
BUCKHORN,1396,8/22/2019,Wildfire,AZ3213311040720190822,,,,,,,,,,,,
WAR BONNET,1004,8/21/2019,Wildfire,AZ3225211006920190821,,,,,,,,,,,,
BIGHORN,126131,6/6/2020,Wildfire,AZ3237811092720200606,,,,,,,,,,,,
WOOD CANYON,2290,8/13/2020,Wildfire,AZ3238810909020200813,,,,,,,,,,,,
TORTOLITA,3202,6/6/2020,Wildfire,AZ3252911103520200606,,,,,,,,,,,,
HIGH CREEK,1742,8/16/2020,Wildfire,AZ3255211019320200816,,,,,,,,,,,,
BERMUDA,1175,2/16/2019,Wildfire,AZ3282711447820190216,,,,,,,,,,,,
BASIN,2622,8/24/2020,Wildfire,AZ3286311053420200824,,,,,,,,,,,,
SOUTH RIM RX,6091,5/31/2019,Prescribed Fire,AZ3288111049320190531,,,,,,,,,,,,
JACKSON,2780,7/12/2020,Wildfire,AZ3291711014420200712,,,,,,,,,,,,
BOULDERS,1041,6/30/2020,Wildfire,AZ3304411105620200630,,,,,,,,,,,,
ROCKHOUSE,18435,8/21/2020,Wildfire,AZ3309311057520200821,,,,,,,,,,,,
RANGE,2810,5/29/2020,Wildfire,AZ3309811135620200529,,,,,,,,,,,,
RIM 2,4238,7/16/2019,Wildfire,AZ3313410976320190716,,,,,,,,,,,,
HABANERO,2913,10/21/2020,Wildfire,AZ3324911096720201021,,,,,,,,,,,,
GAP,16084,6/25/2019,Wildfire,AZ3326110999720190625,,,,,,,,,,,,
SCAT WUI PRESCRIBED BURN,1286,5/4/2020,Prescribed Fire,AZ3333211045520200504,,,,,,,,,,,,
JUNIPER,1816,8/28/2020,Wildfire,AZ3336011011920200828,,,,,,,,,,,,
HUCK,14939,7/23/2019,Wildfire,AZ3337311029920190723,,,,,,,,,,,,
DRY LAKE,4197,6/6/2020,Wildfire,AZ3338510986520200606,,,,,,,,,,,,
VALLEY,29331,7/13/2020,Wildfire,AZ3338811039120200713,,,,,,,,,,,,
BRONCO GULCH,11670,7/15/2019,Wildfire,AZ3338911013820190715,,,,,,,,,,,,
SAWTOOTH,23174,5/31/2020,Wildfire,AZ3340211129720200531,,,,,,,,,,,,
SUPERSTITION,8169,8/20/2020,Wildfire,AZ3340511138520200820,,,,,,,,,,,,
WOODBURY,130242,6/8/2019,Wildfire,AZ3340811121020190608,,,,,,,,,,,,
BRINGHAM,23134,6/6/2020,Wildfire,AZ3341510931220200606,,,,,,,,,,,,
QUAIL,1988,8/15/2020,Wildfire,AZ3342911052420200815,,,,,,,,,,,,
BLUE RIVER,29314,6/6/2020,Wildfire,AZ3343511035820200606,,,,,,,,,,,,
BUREN,1740,7/11/2020,Wildfire,AZ3344911322120200711,,,,,,,,,,,,
BLUE RIVER 2,26885,7/13/2020,Wildfire,AZ3347911029820200713,,,,,,,,,,,,
CHAMPION,1968,8/30/2019,Wildfire,AZ3350011062220190830,,,,,,,,,,,,
CASSADORE SPRINGS,21534,8/1/2020,Wildfire,AZ3354411042020200801,,,,,,,,,,,,
COW CANYON,33536,8/18/2020,Wildfire,AZ3355810909320200818,,,,,,,,,,,,
SALT,21885,8/18/2020,Wildfire,AZ3356011090420200818,,,,,,,,,,,,
GRIFFIN,61455,8/18/2020,Wildfire,AZ3358211070120200818,,,,,,,,,,,,
BUSH,212542,6/13/2020,Wildfire,AZ3362611156220200613,,,,,,,,,,,,
PERRY/WILLOW/BLACK RIVER RX BURN,2088,10/1/2019,Prescribed Fire,AZ3363310973220191001,,,,,,,,,,,,
MEDDLER,4457,8/24/2020,Wildfire,AZ3366211089820200824,,,,,,,,,,,,
JOMAX,1170,7/7/2019,Wildfire,AZ3372711202420190707,,,,,,,,,,,,
VERDE,2696,8/4/2019,Wildfire,AZ3372911159520190804,,,,,,,,,,,,
BLUE RIVER,2652,6/30/2019,Wildfire,AZ3373410907320190630,,,,,,,,,,,,
DEER,1917,5/28/2019,Wildfire,AZ3373510913420190528,,,,,,,,,,,,
ODART NORTH/SOUTH RX BURN,3187,10/1/2019,Prescribed Fire,AZ3374110962720191001,,,,,,,,,,,,
LOFER,1530,8/18/2020,Wildfire,AZ3374210970920200818,,,,,,,,,,,,
WHITE WING,1796,5/30/2019,Wildfire,AZ3376811242920190530,,,,,,,,,,,,
TURKEY CREEK RX BURN,2148,10/1/2019,Prescribed Fire,AZ3377610975020191001,,,,,,,,,,,,
UNNAMED,6330,10/21/2019,Prescribed Fire,AZ3377910937720191021,,,,,,,,,,,,
DOVE,1082,5/24/2019,Wildfire,AZ3378211242020190524,,,,,,,,,,,,
JACKRABBIT,1907,5/25/2020,Wildfire,AZ3380711305020200525,,,,,,,,,,,,
MEDICINE,8508,8/23/2020,Wildfire,AZ3382911069020200823,,,,,,,,,,,,
EAST DESERT,2475,5/17/2020,Wildfire,AZ3384711201720200517,,,,,,,,,,,,
MOUNTAIN,7522,6/7/2019,Wildfire,AZ3387111175420190607,,,,,,,,,,,,
SEARS,13369,9/25/2020,Wildfire,AZ3388511181620200925,,,,,,,,,,,,
CENTRAL,4725,6/20/2020,Wildfire,AZ3393011207420200620,,,,,,,,,,,,
RIVER,7796,9/3/2019,Wildfire,AZ3395311201220190903,,,,,,,,,,,,
